Date,HomeTeam,AwayTeam,FTR,PSH,PSD,PSA,MaxH,MaxD,MaxA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA
15/09/2024,Las Palmas,Ath Bilbao,A,3.9,3.39,2.05,4.05,3.6,2.1,4,3.3,1.85,4.29,3.5,2.1
15/09/2024,Ath Madrid,Valencia,H,1.34,5.1,9.9,1.39,5.3,11,1.25,4.75,10.5,1.39,5.5,11
16/09/2024,Vallecano,Osasuna,H,2.08,3.18,4.13,2.17,3.33,4.2,2.1,3.1,3.8,2.18,3.26,4.2
17/09/2024,Mallorca,Sociedad,H,2.94,2.81,3.02,3.03,2.99,3.02,2.9,2.63,2.9,3.08,3.15,2.75
18/09/2024,Betis,Getafe,H,1.96,3.15,4.84,2.06,3.21,5,1.85,2.88,4.75,2,3.2,5.56
19/09/2024,Leganes,Ath Bilbao,A,4.26,3.16,2.07,4.34,3.37,2.13,4.33,3,2,4.4,3.1,2.19
20/09/2024,Alaves,Sevilla,H,2.2,3.3,3.7,2.21,3.39,3.8,2.2,3,3.6,2.23,3.31,3.91
21/09/2024,Valladolid,Sociedad,D,3.87,3.03,2.24,3.9,3.33,2.27,3.8,2.9,2.05,4.52,3.15,2.33
21/09/2024,Osasuna,Las Palmas,H,1.92,3.43,4.51,1.95,3.64,4.6,1.83,3.4,4.5,1.91,3.69,4.82
21/09/2024,Valencia,Girona,H,2.96,3.33,2.53,3.01,3.52,2.56,2.45,3,3.1,2.76,3.39,3.39
21/09/2024,Real Madrid,Espanol,H,1.17,8.33,15.46,1.18,8.9,19,1.1,9.5,21,1.14,10,23
22/09/2024,Getafe,Leganes,D,2.07,2.81,5.06,2.1,3.1,5.2,1.95,2.63,5,2.1,2.91,5.63
22/09/2024,Ath Bilbao,Celta,H,1.72,3.99,4.85,1.76,4.16,5.25,1.73,3.4,4.6,1.84,3.73,5.01
22/09/2024,Villarreal,Barcelona,A,3.9,4.05,1.88,3.95,4.37,1.92,3.7,3.9,1.87,4.09,4.2,1.95
22/09/2024,Vallecano,Ath Madrid,D,4.96,3.53,1.81,5,3.72,1.85,5,3.3,1.67,5.9,3.75,1.79
23/09/2024,Betis,Mallorca,A,1.88,3.3,4.98,1.91,3.41,5.03,1.75,3,5,1.9,3.27,5.5
24/09/2024,Sevilla,Valladolid,H,1.67,3.9,5.49,1.71,4.02,5.6,1.57,3.75,6,1.65,4.01,6.5
24/09/2024,Valencia,Osasuna,D,2.09,3.15,4.2,2.12,3.32,4.3,2.05,3,4.33,2.08,3.22,4.61
24/09/2024,Real Madrid,Alaves,H,1.18,7.39,16.8,1.2,8.1,19,1.13,8,19,1.18,8.6,23
25/09/2024,Girona,Vallecano,D,1.76,3.91,4.71,1.8,3.98,5,1.62,3.6,5,1.72,4,5.5
25/09/2024,Barcelona,Getafe,H,1.23,6.57,13.27,1.26,6.96,14.7,1.2,6,13,1.28,7.49,13.3
26/09/2024,Espanol,Villarreal,A,3.45,3.41,2.22,3.5,3.73,2.24,3.4,3.4,2.05,3.64,3.61,2.18
26/09/2024,Las Palmas,Betis,D,3.18,3.3,2.41,3.25,3.44,2.48,3.6,3.25,2.1,3.9,3.4,2.19
