Date,HomeTeam,AwayTeam,FTR,PSH,PSD,PSA,MaxH,MaxD,MaxA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA
22/09/2024,Inter,Milan,A,1.66,4.11,5.25,1.71,4.25,5.3,1.67,3.7,5.5,1.73,4,5.72
24/09/2024,Atalanta,Como,A,1.5,4.69,6.4,1.52,4.82,7,1.44,4.6,7,1.55,4.6,7
27/09/2024,Milan,Lecce,H,1.33,5.73,9.55,1.35,5.87,9.55,1.29,5.8,10,1.33,6.3,11
28/09/2024,Udinese,Inter,A,7.07,4.52,1.48,7.3,4.66,1.53,7.5,4.5,1.44,8.2,4.75,1.47
28/09/2024,Genoa,Juventus,A,5.56,3.6,1.73,5.9,3.71,1.78,5.8,3.3,1.73,5.8,3.45,1.85
28/09/2024,Bologna,Atalanta,D,3.03,3.28,2.52,3.1,3.56,2.54,2.9,3.1,2.6,3.08,3.2,2.73
29/09/2024,Torino,Lazio,A,2.91,3.24,2.63,2.98,3.4,2.65,3.1,3.1,2.5,3.23,3.17,2.62
29/09/2024,Como,Verona,H,2.13,3.39,3.7,2.2,3.54,3.73,1.91,3.3,4.5,1.98,3.51,4.5
29/09/2024,Roma,Venezia,H,1.41,4.89,7.88,1.45,5.1,8.2,1.4,4.6,8.5,1.51,4.75,8.5
29/09/2024,Empoli,Fiorentina,D,3.48,3.27,2.27,3.56,3.47,2.28,3.4,3.2,2.25,3.65,3.47,2.31
29/09/2024,Napoli,Monza,H,1.36,5.16,9.29,1.39,5.4,9.8,1.3,5.5,10,1.35,6,12.24
30/09/2024,Parma,Cagliari,A,2.13,3.62,3.45,2.17,3.78,3.5,2,3.5,3.75,2.08,3.78,3.92
04/10/2024,Napoli,Como,H,1.46,4.58,7.73,1.47,4.97,8,1.44,4.33,6.5,1.54,4.6,7
04/10/2024,Verona,Venezia,H,2.52,3.18,3.16,2.55,3.31,3.19,2.6,3.2,2.9,2.67,3.27,3.06
05/10/2024,Udinese,Lecce,H,2.3,3.22,3.47,2.3,3.48,3.55,2.62,3,3,2.72,3.08,3.23
05/10/2024,Atalanta,Genoa,H,1.47,4.63,7.16,1.51,4.75,7.5,1.44,4.5,7.5,1.48,5,8.19
05/10/2024,Inter,Torino,H,1.32,5.52,9.87,1.35,5.77,11,1.3,5.5,10,1.35,5.6,10.8
06/10/2024,Juventus,Cagliari,D,1.38,4.94,9.15,1.42,5,10,1.44,4.4,7.5,1.55,4.5,8.6
06/10/2024,Bologna,Parma,D,1.87,3.8,4.23,1.89,3.93,4.5,1.83,3.7,4.2,2.06,3.7,3.96
06/10/2024,Lazio,Empoli,H,1.59,3.99,6.38,1.64,4.2,6.5,1.6,3.9,5.8,1.64,4.05,6.5
06/10/2024,Monza,Roma,D,4.29,3.38,1.98,4.34,3.55,2.01,4.2,3.25,2,4.45,3.46,2.08
